City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Marsh Harbour,BS,26.5412,-77.0636,84.52,64,16,13.15,few clouds
109,Yulara,AU,-25.2406,130.9889,64.24,59,0,4.61,clear sky
110,Saskylakh,RU,71.9167,114.0833,9.12,94,90,8.05,overcast clouds
111,Port Alfred,ZA,-33.5906,26.891,67.68,87,74,22.95,broken clouds
112,Zhigansk,RU,66.7697,123.3711,27.59,94,100,16.44,light snow
113,Harper,LR,4.375,-7.7169,78.76,84,89,10.11,light rain
114,Kapaa,US,22.0752,-159.319,75.52,80,75,5.01,light rain
115,San Cristobal,VE,7.7669,-72.225,84.38,50,80,8.66,broken clouds
116,Castro,BR,-24.7911,-50.0119,68.11,88,100,1.72,light rain
117,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,20,8.05,few clouds
118,Constitucion,CL,-35.3333,-72.4167,60.17,62,0,9.24,clear sky
119,Pereslavl-Zalesskiy,RU,56.7393,38.8563,39.79,74,0,5.17,clear sky
120,Port Hedland,AU,-20.3167,118.5667,68.05,94,0,4.61,clear sky
121,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,0,14.97,clear sky
122,Pevek,RU,69.7008,170.3133,25.02,81,100,9.82,overcast clouds
123,Shaoguan,CN,24.8,113.5833,71.6,74,99,3.04,overcast clouds
124,Barrow,US,71.2906,-156.7887,33.82,86,90,5.75,mist
125,Clyde River,CA,70.4692,-68.5914,30.43,100,75,5.75,fog
126,Vallenar,CL,-28.5708,-70.7581,77.59,20,0,16.82,clear sky
127,Kiama,AU,-34.6833,150.8667,57.25,79,85,1.01,overcast clouds
128,Elizabethton,US,36.3487,-82.2107,75.94,77,1,9.22,clear sky
129,Talnakh,RU,69.4865,88.3972,35.58,100,100,10.09,light rain
130,Eregli,TR,37.5133,34.0467,56.52,38,0,1.32,clear sky
131,Khatanga,RU,71.9667,102.5,14.72,94,100,5.82,overcast clouds
132,Kudahuvadhoo,MV,2.6708,72.8944,83.35,73,67,10.51,broken clouds
133,Bredasdorp,ZA,-34.5322,20.0403,61.29,82,83,4.61,broken clouds
134,Orange,US,33.7,-117.7675,72.61,85,90,1.99,overcast clouds
135,Knysna,ZA,-34.0363,23.0471,70.18,65,98,5.37,overcast clouds
136,Bethel,US,41.3712,-73.414,73.92,74,40,4.61,scattered clouds
137,Muros,ES,42.7762,-9.0603,75.7,72,45,7.05,scattered clouds
138,Thompson,CA,55.7435,-97.8558,62.76,67,75,11.5,smoke
139,Jiexiu,CN,37.0244,111.9125,53.13,82,61,2.01,broken clouds
140,Namibe,AO,-15.1961,12.1522,64.4,80,45,11.81,scattered clouds
141,San Roque,ES,36.2107,-5.3842,72.41,83,20,4.61,few clouds
142,Adrar,MR,20.5022,-10.0711,99.46,6,68,9.28,broken clouds
143,Rosetta,EG,31.4044,30.4164,75.02,66,0,9.91,clear sky
144,Chiredzi,ZW,-21.05,31.6667,74.03,57,48,10.56,scattered clouds
145,Sorland,NO,67.667,12.6934,42.66,63,100,16.8,overcast clouds
146,Zigong,CN,29.3416,104.7769,65.5,88,94,1.97,light rain
147,Longyearbyen,SJ,78.2186,15.6401,28.24,59,75,5.75,broken clouds
148,Dandong,CN,40.1292,124.3947,51.39,84,91,6.11,overcast clouds
149,Vila Do Maio,CV,15.1333,-23.2167,88.59,78,36,10.11,scattered clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,53.62,67,0,7.0,clear sky
151,Souillac,MU,-20.5167,57.5167,72.36,88,75,8.05,light intensity shower rain
152,Dingle,PH,10.9995,122.6711,76.84,86,100,2.53,overcast clouds
