City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sobolevo,RU,2021-10-04 15:18:29,54.4299,31.8996,49.69,76,12,8.08
59,Carnarvon,AU,2021-10-04 15:18:29,-24.8667,113.6333,64.47,68,0,23.02
60,Hofn,IS,2021-10-04 15:18:29,64.2539,-15.2082,44.62,57,0,27.63
61,Hobyo,SO,2021-10-04 15:18:30,5.3505,48.5268,79.41,83,80,20.47
62,Nioro,GM,2021-10-04 15:18:10,13.35,-15.75,92.91,55,93,2.59
63,Dingle,PH,2021-10-04 15:15:04,10.9995,122.6711,75.9,95,100,3.62
64,Port Lincoln,AU,2021-10-04 15:18:30,-34.7333,135.8667,54.28,73,59,11.21
65,Arraial Do Cabo,BR,2021-10-04 15:18:31,-22.9661,-42.0278,89.56,62,0,3.44
66,Tuatapere,NZ,2021-10-04 15:17:50,-46.1333,167.6833,46.81,95,63,4.45
67,Caravelas,BR,2021-10-04 15:17:27,-17.7125,-39.2481,85.23,54,9,13.2
68,Georgetown,MY,2021-10-04 15:18:31,5.4112,100.3354,84.15,82,20,0.0
69,Hithadhoo,MV,2021-10-04 15:18:31,-0.6,73.0833,84.09,75,7,17.94
70,Clarence Town,AU,2021-10-04 15:18:32,-32.5833,151.7833,64.85,48,0,12.12
71,Bambous Virieux,MU,2021-10-04 15:18:32,-20.3428,57.7575,72.21,78,40,5.75
72,Geraldton,AU,2021-10-04 15:18:32,-28.7667,114.6,52.21,87,7,5.75
73,Alice Springs,AU,2021-10-04 15:18:33,-23.7,133.8833,62.15,27,0,6.91
74,Baiyin,CN,2021-10-04 15:18:33,36.5583,104.2081,49.08,74,100,2.35
75,Makinsk,KZ,2021-10-04 15:18:33,52.6292,70.4169,27.84,90,83,12.73
76,Ranong,TH,2021-10-04 15:18:34,9.9658,98.6348,80.44,83,100,5.37
77,Sao Luis De Montes Belos,BR,2021-10-04 15:18:34,-16.525,-50.3722,98.62,26,91,4.94
78,Upata,VE,2021-10-04 15:18:34,8.0086,-62.3989,84.87,57,37,8.08
79,Seydi,TM,2021-10-04 15:18:35,39.4816,62.9137,59.47,22,1,11.79
80,Garowe,SO,2021-10-04 15:18:35,8.4054,48.4845,88.09,43,100,15.5
81,Sarangani,PH,2021-10-04 15:18:35,5.4033,125.4636,80.98,76,100,18.16
82,Batagay,RU,2021-10-04 15:15:19,67.6333,134.6333,22.01,84,73,3.51
83,Castro,BR,2021-10-04 15:18:36,-24.7911,-50.0119,65.66,95,100,4.68
