City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Galle,LK,80.4,light rain,6.0367,80.217,Amangalla
487,Guider,CM,85.06,broken clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
493,Point Fortin,TT,86.14,overcast clouds,10.1833,-61.6833,Jus Les' Suites
500,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
502,Godhra,IN,81.99,clear sky,22.75,73.6333,OYO 60822 Hotel Athithi
505,Nouakchott,MR,87.73,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
517,Ko Samui,TH,81.52,overcast clouds,9.5357,99.9357,The Passage
520,Corralillo,CU,87.22,broken clouds,22.9819,-80.5856,Hostal De Pedri
527,Bonthe,SL,81.57,broken clouds,7.5264,-12.505,Bonthe Holiday Village
530,Monrovia,LR,80.37,broken clouds,6.3005,-10.7969,Sunset Inn
533,Hambantota,LK,80.69,broken clouds,6.1241,81.1185,Bungalow 63
538,Jacareacanga,BR,89.4,broken clouds,-6.2222,-57.7528,Casa do Ian😎
539,Mpulungu,ZM,82.72,broken clouds,-8.7623,31.1141,Chela moche guest house
542,Dapaong,TG,86.41,scattered clouds,10.8639,0.205,Hotel Caroli
544,Chigore,PA,86.04,overcast clouds,8.5333,-80.35,Hotel Don Pepe
547,Keti Bandar,PK,82.6,overcast clouds,24.1447,67.4497,Haji laloo memon house
550,Phetchaburi,TH,80.29,light rain,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
553,Alto Araguaia,BR,81.52,light rain,-17.3147,-53.2153,Araguaia Palace Hotel
567,Touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
575,Basco,PH,82.36,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
577,Estacion Coahuila,MX,83.5,overcast clouds,32.1939,-115.0017,carroceria y pintura Kikones
583,Tirumullaivasal,IN,82.49,overcast clouds,11.2333,79.8333,Almupaark complex
587,Nishihara,JP,80.65,overcast clouds,26.1842,127.7558,Minshuku Agaihama
588,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
598,Tual,ID,81.28,broken clouds,-5.6667,132.75,Grand Vilia Hotel
613,Kulhudhuffushi,MV,81.68,few clouds,6.6221,73.07,Hondaafushi Island Resort
621,Veraval,IN,84.54,broken clouds,20.9,70.3667,Lords Inn Somnath
626,Tamale,GH,85.14,overcast clouds,9.4008,-0.8393,Tap Hotel
629,Ondjiva,AO,82.06,broken clouds,-17.0667,15.7333,COMBUESA
638,Cascais,PT,83.55,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
649,Bushehr,IR,86.09,clear sky,28.9684,50.8385,Yas Hotel
651,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
660,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
666,Thai Binh,VN,86.0,overcast clouds,20.45,106.3333,Sweden Hotel
671,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
